u,f,kernel,lambda,a,b,u_is_polynomial,u_is_trigonometric,u_is_hyperbolic,u_is_exponential,u_max_degree,f_is_polynomial,f_is_trigonometric,f_is_hyperbolic,f_is_exponential,f_max_degree,kernel_is_polynomial,kernel_is_trigonometric,kernel_is_hyperbolic,kernel_is_exponential,kernel_max_degree,lambda_is_polynomial,lambda_is_trigonometric,lambda_is_hyperbolic,lambda_is_exponential,lambda_max_degree
x**3 + x**2 + 3*x - cosh(x) + 1.441956026280857, x**3 + x**2 + 3*x - cosh(x) - 2830.6676681454186, t, 8.85173434835059, 0.30379495470067575, 4.205506451175733,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1,True,False,False,False,1
x**4, x**4 + 47019390.848263009/tan(x), 0.12112168792644695*(t**2 - t)**3/tan(x), -8.443248677362721, -5.9009029931509405, 3.8242612505659217,True,False,False,False,4,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x*(cos(x) - 1.517902900374253 + 4672.359325017669/x), x*(cos(x) - 1.517902900374253 + 4672.359325017669/x) + 39463.71840303178, t, 1.0050929839264615, -4.247080485056445, -1.1202935998178312,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1,True,False,False,False,1
x, 4244.9983509782*x - 16.63102418682728*exp(x), t*x - 0.1738379238738627*exp(x), -8.417301518012174, -8.441149055721338, 9.694569603227883,True,False,False,False,1,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
x, x - 844.071087406521 + 167.317004487742*(-1.0*x**3 - 0.317347745776435)/x, t - x**2 - 0.317347745776435/x, 6.097279054055402, -7.457136857929234, 0.8522764489432362,True,False,False,False,1,False,False,False,False,1,False,False,False,False,1,True,False,False,False,1
-0.2965968036182327*tanh(x), 1.166259551189496*x - 0.2965968036182327*tanh(x), x, -9.426319515861914, -1.0500641789729919, -0.33557109686871023,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1,True,False,False,False,1
x**2 + 0.01135419792568916*x + 0.01135419792568916*cosh(x), x**2 + 0.01135419792568916*x + 0.01135419792568916*cosh(x) + 1080.219399735556, 6.283394882072773, -3.6572502161335834, -5.8521548117763516, -4.001802981419558,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1,True,False,False,False,1
x, 127.3757692136788*x**2 + x - 94.7603434770802 - 94.7603434770802/cos(x) + 447.4414235640181/x, t**3 + t**3/cos(x) - 8.724136029649568*x**2 - 30.64585885188394/x, 9.519163893920545, -1.2579044822740055, 2.1563630169424073,True,False,False,False,1,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x**5, x**5 + 312859.06699023158*log(log(tan(x))) - 79877.364018022216, t*(t + log(log(tan(x))) + 6.216081227538883) - 1.4871138469574614, -1.4340898633084347, -7.6472921354483585, -3.0409545760204715,True,False,False,False,5,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x, -356.67148875311452*x**3 + 356.67148875311452*x**2 + 14.461699071028291*x - 2134.0603105414731, x*(x**2 - x + 1.2803036054598617*cos(t)) + 5.98326577210284, 8.20668151679308, 0.4891727675298885, 9.33603289126652,True,False,False,False,1,True,False,False,False,3,False,True,False,False,1,True,False,False,False,1
x, x - 12.873979753979685, 0.1381222064406587*tan(t + 5.546933305237005)**2 + 1.9719983624676694, -0.8714870444390144, -4.9643247126494146, 2.2115333901971272,True,False,False,False,1,True,False,False,False,1,False,True,False,False,1,True,False,False,False,1
0, 0, -t + (-t + x**2 - tanh(t**5))**5, 4.996957624491728, -4.828982604838481, 2.923572556091429,True,False,False,False,1,True,False,False,False,1,False,False,True,False,1,True,False,False,False,1
x*(-x**3 + x**2) + x, x*(-x**3 + x**2) + x - 11113.21061406032, -0.5164869643945238, 2.677694154473773, -8.537421213380211, -6.300878236974896,True,False,False,False,4,True,False,False,False,4,True,False,False,False,1,True,False,False,False,1
x, -138.12515980157079*x**3/tanh(x) + x + 58.292334444348857*x/tanh(x) + 87.34038047711427*cosh(x**3) - 9918.3496467372694 - 4946.002209056999/tanh(x), -0.66741562294456859*t - 0.66741562294456859*(-2.369525274947388*x**3 + x - 84.84824387636938)/tanh(x) - cosh(x**3) + 116.14821491022221, 6.26226565866763, 1.5082513169228502, 5.492631546953318,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
8.377864868180716*x**5 - 53.16404423612345*x**3 - 83.16243390231866 + 53.16404423612345*cos(1), 8.377864868180716*x**5 - 53.16404423612345*x**3 + 1890.470726984128*x*cos(1) + 2674326.631872048*x - 83.16243390231866 + 53.16404423612345*cos(1), x, -2.442975698067766, -4.7682694725432455, 9.787420588582723,True,True,False,False,5,True,True,False,False,5,True,False,False,False,1,True,False,False,False,1
-0.34738311001655475, 21.884275544192904*x**5 - 21.884275544192904*x - 1.9967261010505246*log(x**2 - 4.33497463572981)*tanh(x**3) + 1.9967261010505246*log(x**2 + 6.62510423171178)*tanh(x**3) + 130.5533001335397, x**5 - x + 5.981494931336275 + tanh(x**3)/(t + x**2), 5.74790783856869, -4.334974635729814, 6.625104231711781,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
-4.845054669706588, -4.845054669706588 + 9.7224928276406999*(0.15595776620352794*x**5 - 4176.5762611375797*x**4 - 13.885618404455341*x*exp(x))/x - 9.7224928276406999*(0.30727589284786245*x**5 - 6866.6734273211857*x**4 - 27.358148919660586*x*exp(x))/x, x**4*(-0.01123160392723217 + 818.72229615418219/(t*x)) + exp(x), 9.7224928276407, 2.8659363724571225, 5.646613048706294,True,False,False,False,1,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
0.51110339454577243, 5.4795005356281018*x**10 - 27.397502678140509*x**9 + 27.397502678140509*x**8*cosh(x**2) + 16.998768866647958*x**8 - 109.59001071256204*x**7*cosh(x**2) + 96.389940602251222*x**7 + 54.795005356281018*x**6*cosh(x**2)**2 + 13.200070110310815*x**6*cosh(x**2) + 64.766243575478016*x**6 - 164.38501606884306*x**5*cosh(x**2)**2 + 343.96482716303468*x**5*cosh(x**2) - 646.73303408250346*x**5 + 54.795005356281018*x**4*cosh(x**2)**3 - 62.392402868955305*x**4*cosh(x**2)**2 + 366.28114430795139*x**4*cosh(x**2) - 50.83755125168378*x**4 - 109.59001071256204*x**3*cosh(x**2)**3 + 398.7598325193157*x**3*cosh(x**2)**2 - 1433.692013052283*x**3*cosh(x**2) + 1346.8134286997808*x**3 + 27.397502678140509*x**2*cosh(x**2)**4 - 96.389940602251222*x**2*cosh(x**2)**3 + 565.66106056760924*x**2*cosh(x**2)**2 - 818.52110902950904*x**2*cosh(x**2) + 626.24007871583478*x**2 - 27.397502678140509*x*cosh(x**2)**4 + 151.18494595853224*x*cosh(x**2)**3 - 792.4384795054076*x*cosh(x**2)**2 + 1610.9595885349166*x*cosh(x**2) - 1431.7198729832931*x + 5.4795005356281018*cosh(x**2)**5 - 37.79623648963306*cosh(x**2)**4 + 264.14615983513587*cosh(x**2)**3 - 805.47979426745832*cosh(x**2)**2 + 1431.7198729832931*cosh(x**2) - 1025.6602725718222, (-t - x**2 + x - cosh(x**2))**5, 1.8119187917012134, -4.337995315190772, 1.5788944632879947,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
-0.4630139708280403, 84827849468.19985*x*exp(x**4*cosh(x)) - 0.4630139708280403, 2217.224599279983*x*exp(-4.758757569619128*t + x**4*cosh(x)), 7.578964868628006, -3.749447227187293, -3.2058106829504833,True,False,False,False,1,False,False,True,True,1,False,False,True,True,1,True,False,False,False,1
5.83568116438652, -9.61529518056754*x + 5.83568116438652 - 4.8604386417248*cos(x)/x, x*(t - (x + cos(x)/x)/x), -1.3926843251512615, -1.2772979287484247, -0.6792565673928586,True,False,False,False,1,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x**5 + exp(x), x**5 + exp(x) - 62621.6541001611, t, 4.241962376768813, 2.0092158645451867, 5.167571395204579,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
4.1828711747404235, -158.43819436143177*x - 158.43819436143177*tan(exp(x)/x**3) + 4.1828711747404235, x + tan(exp(x)/x**3), 4.005008566308781, -0.7184398576624424, 8.739182000527855,True,False,False,False,1,False,True,False,True,1,False,True,False,True,1,True,False,False,False,1
-x**4 - x + 98.62076067520863*(0.1006968362850349*x - 1)**2 - 0.1747400273707861*cos(x) + 7.99977591298661, -x**4 - x + 98.62076067520863*(0.1006968362850349*x - 1)**2 - 0.1747400273707861*cos(x) - 179425.3954747582, t**3, 2.972371956643327, -5.54980133735053, 0.04184285237281493,False,True,False,False,1,False,True,False,False,1,True,False,False,False,3,True,False,False,False,1
-0.6355397041410864, 290.4090127891613, 8.030303426553257, 3.812725206867393, -8.630143907763635, 6.327022530359173,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1
0.0017484001649507901*exp(x**4), 0.0017484001649507901*exp(x**4), 0, -5.274902153759273, -9.158025095410913, 8.803796223317981,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
x, -218930.0561100043*x**9 - 2322809.994073331*x**6 - 8570004.628601857*x**3 + x - 10940840.89784095, 3309.10094975712*(-0.06710630523420106*t**2 - x**3 + 0.06710630523420106*cos(t**2))**3, -3.4747662903652277, 5.801201666510531, 8.469603814719672,True,False,False,False,1,True,False,False,False,9,False,True,False,False,1,True,False,False,False,1
x**4*(x**2 - 461.3107249976447*exp(-x**2)) + x, x**4*(x**2 - 461.3107249976447*exp(-x**2)) + x + 3962097.9196076249, -3.7676067694313957, 6.027165492444233, 7.4078061305945795, 8.177539958347925,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
311.7980810015953*x**7*(x**4 - x**2)**4, 311.7980810015953*x**7*(x**4 - x**2)**4 - 101135826142366.9*x**2/(1.0*x**2 + 1.0*x*tanh(tanh(x))) - 101135826142366.9*x*tanh(tanh(x))/(1.0*x**2 + 1.0*x*tanh(tanh(x))) - 21594403510.74916 - 957765736221025.7/(1.0*x**2 + 1.0*x*tanh(tanh(x))), t**3/(x*(x + tanh(tanh(x)))) + t, 3.1591670398759106, -3.1930241770724326, -1.94299287123075,True,False,False,False,23,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
-2.0919447922074035, -25.837044440026912*x**3/tanh(x**3) - 2.0919447922074035, x**3/tanh(x**3), -2.258445617391665, -8.201839550077029, -2.7331537016559926,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
x**5, x**5 + 492.540370482726*x**4 + 492.540370482726*exp(9.512137573457217/x), x**4 + exp(9.512137573457217/x), 8.67702807344466, -5.207114973939097, -5.192180212385315,True,False,False,False,5,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
x, x + 53.461748577337963*x/tanh(x) - 556.95030990587065, -x/tanh(x) + 10.417734636946719, 1.6049199692669092, -5.5598278883250245, 9.87593081713516,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
-x**4 - 7.667790668853026*x**2 + tanh(x) - 5.755699834252466, -x**4 - 43377.13204990425*x**3 - 7.667790668853026*x**2 + tanh(x) - 43382.82988619359, 1.000001333966064*x**3 + 1, -4.937557905977994, -8.369519807721149, -5.006310420001327,False,False,True,False,1,False,False,True,False,1,True,False,False,False,3,True,False,False,False,1
tanh(x**5)**2 - tanh(x)/x**15, tanh(x**5)**2 - tanh(x)/x**15, 0, -5.1230062643157215, -6.7044270088901285, 8.979799679019646,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1,True,False,False,False,1
1.201682812680126, -3701.511161671245, t**3/(-0.4506325607800196*t - 0.7612966721602002/t), -7.627898270229981, -4.793736956920878, 7.841156839458144,True,False,False,False,1,True,False,False,False,1,False,False,False,False,1,True,False,False,False,1
4.844328284913084*x**6 - 0.04878670205218492, 4.844328284913084*x**6 + 23315901.55428319, t, -9.964453627123959, -4.671616656087442, 6.70623591023492,True,False,False,False,6,True,False,False,False,6,True,False,False,False,1,True,False,False,False,1
x, x + 1642.74130371352 + 1642.74130371352/(x**2*tan(x)), t + t/(x**2*tan(x)), -5.5499464074443905, -0.39045124736384906, 9.611492752465459,True,False,False,False,1,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x**5, x**5 - 5314054.38887782*tan(x) - 5314054.38887782/x, t*tan(x) + t/x, 4.406213006673429, -4.286651666857118, 9.756595746497457,True,False,False,False,5,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x, 1466.66123532571*x**25 + 49993.51162209094*x**20 + 681643.7617929122*x**15 + 4646985.207835249*x**10 + 15839997.90817433*x**5 + x + 21598644.36307686, 14725.46872255259*t*(0.146685158507412*x**5 + 1)**5 + 7.646730037313269, -8.208440910849504, -4.078572887963081, 7.764961902212825,True,False,False,False,1,True,False,False,False,25,True,False,False,False,25,True,False,False,False,1
2.6168446795404847*exp(-x), -0.00067118649213302621 + 2.6168446795404847*exp(-x), -1.177018704653321, -5.386257616673664, 9.195739990307569, 9.704413008892633,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
-4.3766076145191875, 309.33780950038682*tanh(cosh(2*x + 6.968938406808263)) - 4680.9412991641897, t**3 - tanh(cosh(2*x + 6.968938406808263)), -5.765532582835975, -5.728839815088351, 6.530186108398333,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
x, x + 186.719626419336*tanh(x + 6.350145251522202), -tanh(x + 6.350145251522202), -4.5360784758141985, -9.569104330863869, 3.039951379112779,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
x*(x**3*(x**4 + x) - x - 5.342453788012566)*exp(x), x*(x**3*(x**4 + x) - x - 5.342453788012566)*exp(x) + 87405.38011151128, t**4 + t**2 - t, -0.901383933248816, -0.738605163191151, 2.4422740845602284,False,False,False,True,1,False,False,False,True,1,True,False,False,False,4,True,False,False,False,1
x, -39.614539044437142*x**5 + x + 98.414061340594035, -t + x**5 + 2.9823435899845734, 8.062316265580861, 5.003801765608644, 5.904669207948167,True,False,False,False,1,True,False,False,False,5,True,False,False,False,5,True,False,False,False,1
cos(2.372184442760848*x)**3, -1.488515876700757*x + cos(2.372184442760848*x)**3 - 6.090848088969331 - 0.7442579383503786*tan(1), 2*x + tan(1) + 8.183786527651261, 1.3312425071876728, 2.1353497279471725, 3.165583560686498,False,True,False,False,1,False,True,False,False,1,True,True,False,False,1,True,False,False,False,1
9.216521380648835*x**5 + x*cosh(log(x) + 1.4981373216351663) + x, 9.216521380648835*x**5 + x*cosh(log(x) + 1.4981373216351663) - 646.39884399449531*x, x, -1.182650249146878, -3.2850497032823567, 3.0890260062123325,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1,True,False,False,False,1
x*(0.25023066383273596*x - 1.7159802570022187), x*(0.25023066383273596*x - 1.7159802570022187) - 2.5955860124657569*exp(x) + 25.41939572208353, 0.454127614077635*exp(x) - 4.44741552586762, -2.0878943350757684, -2.9302518104343456, 8.000970385535137,True,False,False,False,2,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
x**4 - 1.7694304437952564*x + 34.76668946816666 - 9.945289253755735*exp(-x), x**4 - 1.7694304437952564*x + 4327.3973348536462 - 9.945289253755735*exp(-x), -3.8949379381923226, 4.087519993132505, 3.608096865140844, 4.49637124275668,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
x*(-0.72352324352081466*x**3 + 0.1583869790885436*x) - x, x*(-0.72352324352081466*x**3 + 0.1583869790885436*x) - x + 382.83267708533804*exp(x) - 33.992588686905218, 0.2077794091572156*exp(x) + 0.102953142008269/t, 0.8095576661204653, -6.932635492917734, -0.7894205945924604,True,False,False,False,4,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
x, x + 7.51403164724223, 2.71096564315864*exp(-t), 5.440875259947189, -1.1567351022651113, 6.520190075157043,True,False,False,False,1,True,False,False,False,1,False,False,False,True,1,True,False,False,False,1
x**4*cosh(x), x**4*cosh(x) + 190637298.982717*x**2, x**2, -9.943940085649563, -6.773682413245663, 9.025338571270996,False,False,True,False,1,False,False,True,False,1,True,False,False,False,2,True,False,False,False,1
1.117078994339134*x, -272.8972623827184*x, x, -8.867278800702286, -8.313413964152376, -3.7130689881930445,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1
x**5, x**5 + 253730.06170566732*log(cosh(x + tan(x))) - 1249104.0181016939, log(cosh(x + tan(x))) - 4.9229642309813615, 5.197730178984564, -8.150958630366357, -2.6747995886368763,True,False,False,False,5,False,True,True,False,1,False,True,True,False,1,True,False,False,False,1
4.208400993096843, -55.80288350069901*x*cosh(2461.304438097424*(0.2097813776073629*cos(x**2 + x) - 1/x)**5) + 4.208400993096843, x*cosh(2461.304438097424*(0.2097813776073629*cos(x**2 + x) - 1/x)**5), 8.061557893462474, -6.553134508813483, -4.908306286088873,True,False,False,False,1,False,True,True,False,1,False,True,True,False,1,True,False,False,False,1
x, 20.170381904031*x + 1.09661396379677, t**3*tan(t**5) + x, 5.944256078121715, -3.3857745138080686, -2.2390660001844704,True,False,False,False,1,True,False,False,False,1,False,True,False,False,1,True,False,False,False,1
cosh(0.03719245926473704*x)**5, -44.231647167591885*x + cosh(0.03719245926473704*x)**5 - 44.231647167591885*tanh(x) - 559.06591394501331, 2*t + x + tanh(x) + 0.25442208103192243, 4.971393593582487, 2.1355326384484634, 9.843062948711893,False,False,True,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
x**4, x**4 + 178.0193195725165 - 360.1329083966826*exp(-x), 0.1075379632311807*t**2*exp(-x) + t, 0.26709781052882065, -4.750609179815006, 4.4238649972611395,True,False,False,False,4,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
x, 174.3602398572242*x**3 - 687886.0120480086*x + 60079014.95539717, 3945.205699483371*t - x**3 + 3945.205699483371*x + cos(t)**3 - 367469.6428115837, 6.1325654470511495, 2.7222953017445572, 8.017144811940046,True,False,False,False,1,True,False,False,False,3,False,True,False,False,1,True,False,False,False,1
312.0099456457989, -144.1029736935284*log(tan(3.569357510802842*tan(x) - 20.91796593733327 + 4.23983471151459/x)**2 + 1) + 144.1029736935284*log(tan(3.569357510802842*tan(x) - 9.352174753849497 + 4.23983471151459/x)**2 + 1) + 312.0099456457989, -tan(3.569357510802842*t + 3.569357510802842*tan(x) + 4.23983471151459/x), 3.297042537649924, -5.860428907450144, -2.6201283355743055,True,False,False,False,1,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
3.298688767473802, 3.298688767473802 - 4292573683343.686*x**2, 40042.6310896919*x**2*(t**2 + 0.120086857135635*t)**5, 3.6227752253319796, -4.7748971328037815, 5.127200875595207,True,False,False,False,1,True,False,False,False,2,True,False,False,False,10,True,False,False,False,1
x, x + 17.24845572610498*tanh(x) - 40.05370238571555, cos(t**2) - tanh(x) + 2.299471832564123, 3.6381559142462017, -1.7946637597310513, 3.564098093051239,True,False,False,False,1,False,False,True,False,1,False,True,True,False,1,True,False,False,False,1
x - 0.49640345948263474, x - 45.102210359538538*(1.0*tanh(x**3)**4 - 0.076534512294477615)/tanh(x**3)**4 - 11.05258639485517 + 16.55631716043439/tanh(x**3)**4, 0.1541780397224547*t**2/tanh(x**3)**4 + t, 4.227810885301739, -3.1748399475436635, 0.140973181709537,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
6.6851806171284516*x**2, 6.6851806171284516*x**2 + 2489.7866319031351*x*exp(2*x) - 2489.7866319031351*x, -x*exp(2*x) + x, 3.246870651014536, 6.937760435302586, 8.785237811451196,True,False,False,False,2,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
0, 0, log(5.974027719734096*t**4/x**2)/x, 7.462220548864352, -3.8573067336886186, 9.88946070695527,True,False,False,False,1,True,False,False,False,1,False,False,False,False,1,True,False,False,False,1
(x + 0.5633821030386983)**5 + (-log(exp(x)) - 7749.758010031038)/x, (x + 0.5633821030386983)**5 + 477213.48351283726 + (-log(exp(x)) - 7749.758010031038)/x, -2.0510609750211266, 3.943091403041077, 4.983455964897329, 8.039633321673094,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
x**3 - x, x**3 - x - 579.23495036500786, cos(t) + 0.0024886105480637047, 1.6230466522247013, 0.6428313219707569, 7.206900282511345,True,False,False,False,3,True,False,False,False,3,False,True,False,False,1,True,False,False,False,1
(-0.17054347573475787*x**2 - 0.17054347573475787*x - 0.6888969795464863)*cos(x)**5, -44.600567456147323*x**2 + (-0.17054347573475787*x**2 - 0.17054347573475787*x - 0.6888969795464863)*cos(x)**5 + 44.600567456147323*cosh(1716022.874679104*x**2 - 289847.3735988158), t**3*(-x**2 + cosh(1716022.874679104*x**2 - 289847.3735988158)), 4.193528521159584, -2.959569263864557, -0.8839206529533783,False,True,False,False,1,False,True,True,False,1,False,False,True,False,1,True,False,False,False,1
x**4*(-0.2921686589221814*x**5 + exp(x)), x**4*(-0.2921686589221814*x**5 + exp(x)) + 16126067.962763891, 5.4200353161194705, 3.6008830418294515, 2.9571347885081174, 5.664161122021145,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1,True,False,False,False,1
3.2618025021303225, 3.2618025021303225 + 118.17132360528781*(3.67945434893097*x - 0.522399800713594*log(tan(1.787794833245153*x + 3.52168429611273)**2 + 1))/x - 118.17132360528781*(6.22960305816289*x - 0.522399800713594*log(tan(1.787794833245153*x + 5.96248605919575)**2 + 1))/x, -4.203031102154206*(-x - tan(0.957121345216831*t - 1.787794833245153*x))/x, 8.619693723424703, -6.229603058162889, -3.679454348930971,True,False,False,False,1,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
0.4375870884139880, 19.29801158738529, t, 2.46737268329176, -7.380377585170647, -4.419643310502767,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1
-16820722.294442906/x**30, -68.2383581629165*(-75924.910096265302*x - 9162279.5408614013*exp(x))/x - 16820722.294442906/x**30, 0.0045137722844011734*(x + 120.67554020471719*exp(x))/x, 8.501358937602411, 0.828669664856772, 7.420575504646266,False,False,False,False,1,False,False,False,True,1,False,False,False,True,1,True,False,False,False,1
-9.284371695830133, 169.09293211562319, -t + exp(t) - cos(t) - 1.6432392834377119, 1.313600592098238, -6.734781355860933, 2.390584177417324,True,False,False,False,1,True,False,False,False,1,False,True,False,True,1,True,False,False,False,1
x**4 - x, x**4 - x + 1624.922998550096*tan(0.3551850238001901*x**3 + 282.2029045055107*x**2) + 10621.53807524111, tan(x**2*(0.3551850238001901*x + 282.2029045055107)) + 6.536640865270915, -7.101943197676583, -3.858782556152425, 3.0748103379616882,True,False,False,False,4,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
1.6928117068763768, 1.6928117068763768 + 22.509794322677223/tan(x**2)**2, tan(x**2)**(-2), -5.813765674107428, -8.321029932014381, -6.033823574142136,True,False,False,False,1,False,True,False,False,1,False,True,False,False,1,True,False,False,False,1
x, x - 1069.279470025374 + 2883.135331712224/x, -t**2/x + 9.276951798353377, 7.1960401195404735, 2.999392399376166, 6.4055584608912,True,False,False,False,1,False,False,False,False,1,False,False,False,False,1,True,False,False,False,1
0.034891278068340411, -7515.4705244072111, -1.235064044327201*t**10*exp(t), -5.798038638067336, 1.3247974185074707, 2.5610533805750393,True,False,False,False,1,True,False,False,False,1,False,False,False,True,1,True,False,False,False,1
4.809976259546991, 193.10072215210785 - 78.00105265585938*tanh(6.261779980236484/x), 2.4139513440068504 - tanh(6.261779980236484/x), -6.9496919835643585, 4.469426784259202, 6.80284172421668,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
x, 1.709467553124616*x - 0.5941972187411749*cosh(x) + 2.35383363332242, -t**2 - 1.193993392678015*x + cosh(x), -0.35549635064948504, -2.3733574609026338, 1.5132447390171038,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
9.7019518037069160, 1152.7922559435773*tanh(x) - 1143.0903041398704, -t**2*tanh(x) + t**2, 1.8844208109651674, 2.7598126808168324, 5.945647139946939,True,False,False,False,1,False,False,True,False,1,False,False,True,False,1,True,False,False,False,1
-2.28343230339906, 323.159476186336, t, -8.522726015310699, -6.064881755588574, -1.8268158769030567,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1,True,False,False,False,1
